province,region,rank_total,province_total_million,province_items,agencies,category,category_budget_million,category_items,percent,rank_category_share
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,ถนน สะพาน และทางสัญจร,1926.8905,113,23.043454,58
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,บุคลากร สวัสดิการ และเงินอุดหนุน,2913.9296,427,34.847336,8
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,น้ำ ชลประทาน ประปา และระบายน้ำ,914.7073,42,10.938875,65
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,239.0939,134,2.859295,32
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,175.9808,26,2.104533,56
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,อาคารและสิ่งก่อสร้างอื่น,1197.6007,113,14.321964,23
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,อาหารและโภชนาการ,332.4618,219,3.975871,9
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,กิจกรรม อบรม และบริหารจัดการ,456.2518,51,5.456261,15
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,จ้างเหมาและบริการ,205.0702,248,2.452410,29
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,ถนน สะพาน และทางสัญจร,2468.3982,41,29.602292,31
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,บุคลากร สวัสดิการ และเงินอุดหนุน,1811.8462,167,21.728585,47
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,น้ำ ชลประทาน ประปา และระบายน้ำ,1784.6390,10,21.402302,29
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,219.6427,36,2.634067,36
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,781.3293,33,9.370100,5
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,อาคารและสิ่งก่อสร้างอื่น,730.1519,66,8.756354,62
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,อาหารและโภชนาการ,293.5290,76,3.520150,15
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,กิจกรรม อบรม และบริหารจัดการ,135.0608,30,1.619718,68
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,จ้างเหมาและบริการ,113.9404,87,1.366431,56
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,ถนน สะพาน และทางสัญจร,3723.8597,136,44.868205,5
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,บุคลากร สวัสดิการ และเงินอุดหนุน,1123.2922,263,13.534372,65
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,น้ำ ชลประทาน ประปา และระบายน้ำ,1817.8674,66,21.903201,25
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,138.6744,79,1.670866,66
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,524.0104,39,6.313720,12
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,อาคารและสิ่งก่อสร้างอื่น,575.8249,110,6.938024,72
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,อาหารและโภชนาการ,199.2818,114,2.401115,45
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,กิจกรรม อบรม และบริหารจัดการ,99.8203,26,1.202719,74
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,จ้างเหมาและบริการ,96.9203,132,1.167778,63
นครปฐม,ภาคกลาง,19,8060.8343,859,64,ถนน สะพาน และทางสัญจร,1422.0397,61,17.641346,71
นครปฐม,ภาคกลาง,19,8060.8343,859,64,บุคลากร สวัสดิการ และเงินอุดหนุน,1607.5183,172,19.942332,49
